HIP,right ascension_lon,declination_lat,apparent magnitude,Star Name
20384,65.25,-63.38,5.24,
20400,65.5,14.06,5.72,
20417,65.5,20.81,5.91,
20430,65.5,25.61,5.38,
20455,65.5,17.53,3.77,
20465,65.75,-24.88,5.81,
20484,65.75,16.76,5.64,
20493,65.75,20.96,6,
20507,65.75,-3.73,5.17,
20522,65.75,9.45,5.1,
20535,66,-34.01,3.97,
20542,66,17.43,4.8,
20579,66,34.11,5.73,
20591,66,33.95,5.77,
20614,66,19.03,5.97,
20619,66.25,-61.23,5.94,
20635,66.25,22.28,4.21,
20641,66.25,22.2,5.27,
20648,66.25,17.91,4.3,
20704,66.5,31.43,5.29,
20711,66.5,22.8,4.28,
20713,66.5,15.61,4.48,
20732,66.5,14.7,4.69,
20776,66.75,80.81,5.42,
20789,66.75,22.98,5.53,
20804,66.75,11.2,5.87,
20825,66.75,-62.51,5.74,
20842,67,21.61,5.72,
20860,67,83.8,5.51,
20873,67,14.73,5.9,
20877,67,16.35,4.96,
20884,67,1.36,5.53,
20885,67,15.95,3.84,
20889,67,19.16,3.53,
20892,67,-19.45,5.95,
20894,67,15.86,3.4,
20901,67,13.03,5.02,
20922,67.25,-13.03,5.61,
20982,67.5,83.33,5.47,
20995,67.5,15.63,5.58,
21029,67.5,16.18,4.78,
21036,67.5,13.71,5.4,
21039,67.5,15.68,5.47,
21042,67.5,-35.65,5.95,
21060,67.5,-44.95,5.07,
21139,67.75,-0.03,4.91,
21148,68,53.9,5.78,
21192,68,-3.2,5.76,
21247,68.25,72.51,5.94,
21248,68.25,-29.75,4.49,
21253,68.25,-62.81,5.79,
21273,68.25,14.83,4.65,
21278,68.25,-6.73,5.71,
21281,68.25,-55.03,3.3,
21295,68.5,5.56,5.67,
